Name,PC2D_pred
C1,4684051.024745034
C2,4840654.290250485
C3,4220666.758622904
C4,3758847.911048989
C5,3382735.415737496
C6,3055722.480766019
C7,2799443.9982249527
C8,2552936.273821716
C9,2311739.611684717
C10,2131654.433993705
C11,1968311.8713392157
C12,1824668.5446875945
C13,1706005.0311345253
C14,1581366.9999561608
C15,1472303.1108426447
C16,1376151.3024274728
C17,1292184.9754038826
C18,1219378.205306052
C19,1155167.8712083378
C20,1089117.5432557531
C21,1029155.0687808114
C22,980626.6456475984
C23,934352.5157472286
C24,891419.242846412
C25,854558.3939755977
C26,817898.4555240722
C27,784422.8750875355
C28,755322.8371346139
C29,729739.165392383
C30,705732.6434128683
C31,679233.0577002756
C32,650349.7968523188
C33,619179.9514157646
C34,586712.0550047836
C35,553778.8635431934
C36,521113.8928185861
C37,489191.47643314936
C38,458395.3133930263
C39,428915.057299478
C40,400904.7809100569
C41,374391.0746006603
C42,349405.33809652756
C43,325896.33408894774
C44,303838.6244130674
C45,283150.80427920364
C46,263785.35491315695
C47,245654.17753283543
C48,228704.18704152943
C49,212850.96733835663
C50,198042.96510524076
C51,184203.17104959922
C52,171284.19713846812
C53,159217.34892400695
C54,147959.98685691267
C55,137451.36994078988
C56,127653.45233357833
C57,118512.73763808733
C58,109995.3728196212
C59,102054.26282085446
C60,94659.3434920079
C61,87769.1726269173
C62,81357.0368904163
C63,75386.50378224903
C64,69833.85653355416
C65,64667.08390295871
C66,59865.1375670565
C67,55399.91502039483
C68,51252.771189973064
C69,47399.06030536455
C70,43822.28456307154
C71,40500.85781652753
C72,37420.20395044141
C73,34561.43841116781
C74,31911.70813416984
C75,29454.51833183097
C76,27178.544958659437
C77,25069.40554874026
C78,23117.1427782445
C79,21309.225390515916
C80,19636.924475144555
C81,18089.333589974525
C82,16658.803354733296
C83,15335.865639896065
C84,14113.826491200089
C85,12984.478753850772
C86,11941.976594370442
C87,10979.20665312441
C88,10091.080719626923
C89,9271.444677852596
C90,8515.870151395422
C91,7819.043316873765
C92,7177.115875137497
C93,6585.507548948975
C94,6040.881212431801
C95,5539.291730353379
C96,5077.849420747872
C97,4653.162775091908
C98,4262.735577390207
C99,3903.6533885742256
C100,3573.763045932302
C101,3270.566440269851
C102,2992.2076448586454
C103,2736.548977997469
C104,2501.9939256953367
C105,2286.714581103862
C106,2089.3401766744237
C107,1908.3100374230182
C108,1742.4495367957797
C109,1590.4285188953365
C110,1451.2406693681285
C111,1323.7539533243066
C112,1207.1091366914206
C113,1100.3437809801105
C114,1002.7244067832497
C115,913.4342290950947
C116,831.8485691127887
C117,757.2754657196847
C118,689.1832825710551
C119,626.9863674313278
C120,570.233494585302
C121,518.429588024876
C122,471.19229365303244
C123,428.1036517952944
C124,388.8400684569353
C125,353.0493194155574
C126,320.45797078383686
C127,290.76968304234504
C128,263.75363560012556
C129,239.160817738821
C130,216.79681189943702
C131,196.45271548347552
C132,177.96494681032723
C133,161.15846538907198
C134,145.8958713206015
C135,132.03076215434655
C136,119.44790014512401
C137,108.02496673632766
C138,97.66543262473739
C139,88.26732380719146
C140,79.74990495167822
C141,72.02820519828572
C142,65.03484942727404
C143,58.69917166984529
C144,52.964989453625975
C145,47.77361322986033
C146,43.07827152141165
C147,38.8303008480247
C148,34.99083716020783
C149,31.519559814420774
C150,28.384219324333063
C151,25.551474681161448
C152,22.994610997778963
C153,20.686090190351017
C154,18.603804166065473
C155,16.725048320809876
C156,15.031555748578029
C157,13.50462809769608
C158,12.129206663201252
C159,10.889909797807897
C160,9.77433981296068
C161,8.769855827481045
C162,7.8662651945653685
C163,7.053211865213048
C164,6.322315688525704
C165,5.665099566034553
C166,5.074694467122544
C167,4.544169512744773
C168,4.06789854929484
C169,3.6402200488076653
C170,3.2565391434840594
C171,2.91223990037161
C172,2.6035673242727744
C173,2.326766183224088
C174,2.07877520885862
C175,1.8565408680074198
C176,1.657571625844006
C177,1.4793883350995307
C178,1.3199672366786093
C179,1.177297395279828
C180,1.049736122288495
C181,0.935656015287007
C182,0.8337256108431252
C183,0.7426296159085047
C184,0.6612904107524394
C185,0.588646187804574
C186,0.523826247268148
C187,0.46597482089599257
C188,0.4143891609758324
C189,0.36838035332749536
C190,0.32738250140886915
C191,0.290841568599529
C192,0.258302376590579
C193,0.22932025082761054
C194,0.2035294538787452
C195,0.18057361466996608
C196,0.16015928161649273
C197,0.14200121088683565
C198,0.1258643604059392
C199,0.11152072851144405
C200,0.09878235569844696
