Name,TC2D_pred
C1,343.47757152950385
C2,323.92159744019114
C3,382.9038897744182
C4,428.6047751440817
C5,470.97214914451183
C6,508.0000824193489
C7,541.521390624568
C8,569.1180259610609
C9,593.332516667218
C10,615.8054488711961
C11,639.6598409404014
C12,657.8928402055901
C13,675.5517194246606
C14,693.6972206050832
C15,706.245899069397
C16,722.3683697686841
C17,734.2491235765804
C18,747.147957210486
C19,758.9796121012622
C20,772.6130859981021
C21,781.0112355296737
C22,790.8514884547085
C23,802.2116560663491
C24,810.3349892044724
C25,817.8841616799953
C26,825.4299015770142
C27,833.3599863470707
C28,841.0882423861958
C29,847.323473512979
C30,853.0635124630228
C31,867.804554479427
C32,868.5465446737205
C33,872.4069442205212
C34,883.0585931262885
C35,886.1039758625614
C36,892.0015725555024
C37,892.6068062428303
C38,894.7022316627393
C39,896.8859828696881
C40,897.4112898606694
C41,900.3025464206623
C42,899.6737867681079
C43,900.8144591528733
C44,900.3286082267151
C45,901.4423147973426
C46,902.200006324076
C47,899.7842804684209
C48,899.7462240700264
C49,899.2971014470121
C50,898.588405392492
C51,899.3607030580674
C52,899.0996626752956
C53,899.4384719519378
C54,899.4220601624917
C55,899.39355805225
C56,898.8872897776093
C57,900.6085987301574
C58,900.1545138936427
C59,899.986734196878
C60,899.986734196878
C61,899.986734196878
C62,899.986734196878
C63,900.9850205058729
C64,899.5095098303568
C65,899.1361054749309
C66,899.1361054749309
C67,899.1361054749309
C68,899.147002580268
C69,899.147002580268
C70,898.9780317176939
C71,906.6186107126765
C72,907.0547791642158
C73,907.1067456711088
C74,907.1067456711088
C75,906.8057728585754
C76,910.3238194426575
C77,911.9866505820501
C78,911.9866505820501
C79,910.7400633036618
C80,910.7400633036618
C81,910.7400633036618
C82,910.7400633036618
C83,910.7400633036618
C84,910.7400633036618
C85,910.7400633036618
C86,910.9816530734067
C87,910.9816530734067
C88,911.0685760255416
C89,910.9816530734067
C90,910.9613869766688
C91,910.9613869766688
C92,910.9258174774851
C93,910.9258174774851
C94,910.9258174774851
C95,910.9628224055044
C96,910.8113105988261
C97,910.7648328301591
C98,910.0254489022199
C99,910.0254489022199
C100,910.0254489022199
C101,910.2291609660894
C102,910.2291609660894
C103,910.2291609660894
C104,910.2291609660894
C105,910.2291609660894
C106,910.2291609660894
C107,910.2291609660894
C108,910.2291609660894
C109,910.2291609660894
C110,910.133103702178
C111,910.7873649544038
C112,910.7873649544038
C113,909.7280544643
C114,910.6980248038689
C115,911.5191022150306
C116,915.5220777795084
C117,915.5220777795084
C118,915.5220777795084
C119,915.7582844678394
C120,915.687221375525
C121,915.687221375525
C122,920.3469021550918
C123,920.3469021550918
C124,920.7213772576748
C125,921.9719134887497
C126,924.9769180251526
C127,926.3178784343588
C128,926.3178784343588
C129,926.0700432892241
C130,929.7945457946175
C131,929.7945457946175
C132,929.7945457946175
C133,933.4236289682223
C134,933.6553240009586
C135,932.6017451053016
C136,932.706312863095
C137,932.706312863095
C138,932.9409416312916
C139,936.0655708166869
C140,936.9432966469088
C141,936.9432966469088
C142,936.9432966469088
C143,936.9432966469088
C144,936.9432966469088
C145,937.0340405028113
C146,943.8789798828963
C147,944.2697996053172
C148,943.4334658044913
C149,942.8174069719463
C150,940.890300398361
C151,940.890300398361
C152,945.9653187382005
C153,945.9653187382005
C154,945.9653187382005
C155,945.9653187382005
C156,945.9653187382005
C157,945.9653187382005
C158,945.9653187382005
C159,947.8232639055545
C160,947.8232639055545
C161,947.8232639055545
C162,954.2381725262718
C163,968.8251874313717
C164,969.9074998009834
C165,969.9074998009834
C166,969.9074998009834
C167,973.7544883709472
C168,973.7544883709472
C169,973.7544883709472
C170,973.8453008974234
C171,973.8453008974234
C172,973.8453008974234
C173,973.8453008974234
C174,973.8453008974234
C175,973.8453008974234
C176,973.8453008974234
C177,974.3244665989922
C178,975.3805450466167
C179,975.4215081536051
C180,975.4215081536051
C181,975.6333904586336
C182,975.6333904586336
C183,975.6333904586336
C184,975.6333904586336
C185,975.6333904586336
C186,975.6030053558111
C187,975.1582880119221
C188,975.1582880119221
C189,975.1582880119221
C190,975.1582880119221
C191,975.1582880119221
C192,975.3780555796068
C193,975.3780555796068
C194,975.3780555796068
C195,975.3780555796068
C196,975.3780555796068
C197,975.3780555796068
C198,975.3780555796068
C199,975.3780555796068
C200,975.3780555796068
