material or substance name,Validation,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_SPS,RDKit2D_BalabanJ,RDKit2D_Chi0n,RDKit2D_Kappa1,RDKit2D_Kappa3,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,PubChemFP_fp_0,PubChemFP_fp_9,Mordred2D_nAtom,Mordred2D_ATS0se,Mordred2D_ATS2se,Mordred2D_ATS6se,Mordred2D_ATS0are,Mordred2D_ATS5p,Mordred2D_ATS6p,Mordred2D_ATS0i,Mordred2D_ATS2i,Mordred2D_ATS6i,Mordred2D_AATS0v,Mordred2D_ATSC1dv,Mordred2D_ATSC2dv,Mordred2D_ATSC0v,Mordred2D_ATSC1v,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC0i,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTse-1l,Mordred2D_BCUTare-1l,Mordred2D_BalabanJ,Mordred2D_SpMAD_DzZ,Mordred2D_SpAbs_Dzse,Mordred2D_SpMAD_Dzse,Mordred2D_SpMAD_Dzpe,Mordred2D_SpMAD_Dzare,Mordred2D_SpAbs_Dzi,Mordred2D_SpDiam_Dzi,Mordred2D_SpMAD_Dzi,Mordred2D_Sse,Mordred2D_Spe,Mordred2D_Sare,Mordred2D_Sp,Mordred2D_Si,Mordred2D_SsCH3,Mordred2D_ETA_dEpsilon_D,Mordred2D_fMF,Mordred2D_CIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID_h,Mordred2D_MID_C,Mordred2D_AMID_O,Mordred2D_apol,Mordred2D_bpol,Mordred2D_TopoPSA
METHANE,0,0.0,0.35978493788397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.6361,4,0,5,34.414372,40.310784,0.0,25.61,0.0,0.0,866.464964186996,1109.5059121454938,0.0,109.57037589461012,0.0,0.0,180.10193075137815,-144.08154460110245,-0.0784000000000001,-0.0575999999999999,-0.6441115423033604,4.373530150759195,0.874706030151839,0.0,2.746,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.775673707210489,4.450980392156863,4.5200000000000005,2.5971089820359285,5.830579291848352,0.0,0.0,0.0,1.6,3.816483617504394,0.4829130402062782,24.950000000000006,0.0,1.0,0.0,4.337172000000001,4.012828,0.0
ETHANE,0,2.0,0.372785555157605,3.0,1.0,2.0,2.0,0.0,0.0,4.0,0,0,0.0,1.0262,6,0,8,55.391816000000006,83.016576,0.0,41.540000000000006,0.0,0.0,1363.094624325494,2028.2411984228945,0.0,129.1920337605301,-0.5625,-0.75,337.691120158834,-126.63417005956268,-0.0689062499999998,-0.0506250000000002,-0.5661136602275626,8.200369032673493,1.0250461290841866,0.89,2.636,2.39,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,7.663510560815732,7.176470588235295,7.280000000000001,4.395663473053892,9.245868937772528,4.0,0.0,0.0,2.188721875540867,7.867668746754797,-0.3481257229235901,39.04000000000001,0.0,3.0,0.0,7.340758000000001,6.019241999999999,0.0
PROPANE,0,1.25,0.3854706587740357,6.0,1.6329931618554523,2.7071067811865475,3.0,0.0,0.0,4.25,0,0,2.0,1.4163,8,0,11,76.36926,125.74608400000002,0.0,57.47000000000001,0.0,0.0,1859.724284463992,2952.4433973887435,0.0,138.1109691541301,-0.4958677685950414,-3.165289256198346,491.1870838673949,-119.07565669512609,-0.0647933884297506,-0.0476033057851235,-0.5323235886804635,11.92780950207053,1.0843463183700484,0.9773363066878588,2.5909357046106023,2.3449357046106005,1.6329931618554523,1.8213672050459184,5.464101615137755,1.8213672050459184,1.8213672050459184,1.8213672050459184,5.464101615137755,4.732050807568879,1.8213672050459184,10.551347414420976,9.901960784313728,10.040000000000004,6.194217964071855,12.661158583696704,4.25,0.0,0.0,2.614080682014861,9.926052013809633,-0.8244293766420586,53.13000000000005,0.0,4.914213562373095,0.0,10.344344,8.025656,0.0
ISOBUTANE,0,0.8333333333333333,0.3971180036971562,9.0,2.3237900077244498,3.5773502691896257,4.0,0.0,0.0,6.5,0,0,1.3333333333333333,1.6623,10,0,14,97.346704,168.49930799999998,0.0,73.40000000000002,0.0,0.0,2356.35394460249,3882.112509043042,0.0,143.20750366475866,1.102040816326531,-8.020408163265307,643.2211812549219,-114.86092522409297,-0.0624999999999991,-0.045918367346938,-0.5134817779841855,15.619750538425697,1.1156964670304068,0.9839941003120974,2.5564717868660924,2.310471786866093,2.3237900077244498,2.322875655532295,9.29150262212918,2.322875655532295,2.322875655532295,2.322875655532295,9.29150262212918,6.64575131106459,2.322875655532295,13.43918426802622,12.62745098039216,12.800000000000004,7.992772455089819,16.07644822962088,6.5,0.0,0.0,2.944234353490973,13.671143071538427,-0.908933202819753,67.22000000000008,0.0,6.732050807568878,0.0,13.347930000000002,10.03207,0.0
n-BUTANE,0,1.3194444444444444,0.4310243576713091,7.5,1.9747448713915887,3.414213562373095,4.0,2.0,0.0,4.361111111111111,0,0,3.0,1.8064,10,0,14,97.346704,168.475592,0.0,73.40000000000002,4.001516143640999,0.0,2356.35394460249,3876.6455963545927,0.0,143.20750366475866,0.1020408163265306,-4.448979591836734,643.2211812549219,-114.86092522409294,-0.0624999999999991,-0.045918367346938,-0.5134817779841854,15.619750538425697,1.1156964670304068,0.9860010787499066,2.5757868010618714,2.3297868010618723,1.9747448713915887,2.581138830084191,10.324555320336763,2.581138830084191,2.581138830084191,2.581138830084191,10.324555320336763,8.576491222541478,2.581138830084191,13.43918426802622,12.62745098039216,12.800000000000004,7.992772455089819,16.07644822962088,4.361111111111111,0.0,0.0,2.944234353490973,13.09255135541351,-1.282733202819753,67.22000000000008,0.0,6.871320343559642,0.0,13.347930000000002,10.03207,0.0
"1,1,3-TRIMETHYLCYCLOHEXANE",0,0.650462962962963,0.4672251759438993,34.333333333333336,2.410837013264412,6.905777393935816,7.111111111111111,2.0,0.0,7.158958333333333,0,0,1.8327123968149608,3.2227000000000023,18,0,27,188.7969960000001,384.660436,241.8647040000001,143.37,43.404083515470006,16.006064574563997,4469.666941246482,8339.687441446436,6657.035472872964,161.89479687039673,11.000000000000004,-12.999999999999991,1350.7644806353364,-6.171907703519368e-13,-9.151090379294008e-16,-7.638334409421077e-16,1.3286518531090666e-15,32.80147613069396,1.2148694863219984,0.992051869310368,2.51261670209798,2.266616702097983,2.410837013264412,4.140644070247041,37.26579663222337,4.140644070247041,4.140644070247041,4.140644070247041,37.26579663222337,26.565781812842133,4.140644070247041,25.9905316824472,24.529411764705884,24.84,16.186990419161678,30.737606813317583,7.158958333333333,0.0,0.2222222222222222,3.836591668108978,25.267838909081263,-2.424849171578492,126.80999999999996,0.0,17.310708415336467,0.0,27.032273999999973,18.057726,0.0
n-PENTANE,0,1.34375,0.4687855098011331,8.4,2.19060968716425,4.121320343559642,5.0,4.0,0.0,4.423611111111111,0,0,4.0,2.1965000000000003,12,0,17,118.324148,211.2051,60.466176,89.33000000000001,12.016620718187998,4.001516143640999,2852.983604740988,4800.84779532044,1664.2588682182409,146.50526128928303,0.4844290657439439,-5.121107266435986,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.501470923938603,19.294985959231745,1.1349991740724557,0.9872569003884862,2.5675947494211764,2.3215947494211786,2.19060968716425,3.3152863007600737,16.576431503800364,3.3152863007600737,3.3152863007600737,3.3152863007600737,16.576431503800364,13.524283729399976,3.3152863007600737,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,4.423611111111111,0.0,0.0,3.2134817931229813,16.564363271458024,-1.7293109512410845,81.3100000000001,0.0,8.849873734152917,0.0,16.351516,12.038484,0.0
ISOPENTANE,0,0.8842592592592591,0.4444408351269941,9.6,2.5395388613593908,4.284457050376173,5.0,4.0,0.0,6.643518518518518,0,0,2.25,2.0524,12,0,17,118.324148,211.228816,0.0,89.33000000000001,8.003032287282,0.0,2852.983604740988,4806.31470800889,0.0,146.50526128928303,2.484429065743944,-7.94463667820069,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,19.294985959231745,1.1349991740724557,0.986400585850396,2.5501003957039803,2.30410039570398,2.5395388613593908,2.9837177083653708,14.918588541826855,2.9837177083653708,2.9837177083653708,2.9837177083653708,14.918588541826855,11.321988793881976,2.9837177083653708,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,6.643518518518518,0.0,0.0,3.2134817931229813,15.090860089398962,-1.3555109512410843,81.3100000000001,0.0,8.696801932082174,0.0,16.351516,12.038484,0.0
NEOPENTANE,0,0.5,0.4105781835342534,12.0,3.0237157840738176,4.5,5.0,0.0,0.0,8.75,0,0,1.0,2.0524,12,0,17,118.324148,211.27624799999995,0.0,89.33000000000001,0.0,0.0,2852.983604740988,4817.248533385788,0.0,146.50526128928303,4.484429065743943,-15.591695501730102,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,19.294985959231745,1.1349991740724557,0.9869366140699168,2.527494886423066,2.281494886423064,3.0237157840738176,2.6422205101855964,13.21110255092798,2.6422205101855964,2.6422205101855964,2.6422205101855964,13.21110255092798,8.605551275463993,2.6422205101855964,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,8.75,0.0,0.0,3.2134817931229813,17.487132873161,-1.3380509512410843,81.3100000000001,0.0,8.5,0.0,16.351516,12.038484,0.0
METHYLCYCLOPROPANE,0,1.0833333333333333,0.3934207493755273,26.25,2.171098317873574,2.9915638315627207,2.25,0.2222222222222222,0.0,2.2777777777777777,0,0,0.27,1.4163,8,0,12,83.909776,148.32020000000003,0.0,63.72000000000001,0.0,0.0,1986.518640553992,3321.8926402818456,0.0,161.89479687039673,3.0000000000000027,-13.333333333333332,600.3397691712604,-1.6818682791868392e-15,8.403154715273967e-16,7.155387393709134e-16,-1.2203538571008544e-15,14.578433835863986,1.2148694863219989,0.9939316247903812,2.590782898291794,2.3447828982917924,2.171098317873574,2.049823864837932,8.199295459351728,2.049823864837932,2.049823864837932,2.049823864837932,8.199295459351728,6.48283240128394,2.049823864837932,11.551347414420976,10.901960784313728,11.040000000000004,7.194217964071855,13.661158583696704,2.2777777777777777,0.0,0.25,2.6666666666666665,11.874687506009636,-0.6784827810523284,56.36000000000007,0.0,7.175868588434429,0.0,12.014344,8.025656,0.0
n-HEXANE,0,1.355,0.4629542813199688,9.0,2.3390923149762908,4.82842712474619,6.0,4.0,0.0,4.463611111111111,0,0,5.0,2.5866000000000007,14,0,20,139.30159200000003,253.934608,123.32736,105.26000000000002,21.038149577584,12.016620718187998,3349.613264879486,5725.049994286289,3137.747110568388,148.81369162645012,0.75,-6.0,945.5351364447348,-110.31243258521904,-0.0600250000000022,-0.0441000000000012,-0.4931478995760074,22.96103329148577,1.1480516645742884,0.9871324231766964,2.562507740815377,2.316507740815375,2.3390923149762908,4.036437167970996,24.21862300782597,4.036437167970996,4.036437167970996,4.036437167970996,24.21862300782597,19.57341311905074,4.036437167970996,19.214857975236708,18.078431372549023,18.32,11.589881437125747,22.90702752146923,4.463611111111111,0.0,0.0,3.44063719565667,20.174385663055805,-2.167466112453348,95.40000000000012,0.0,10.839150429449552,0.0,19.35510199999999,14.044897999999998,0.0
2-METHYLPENTANE,0,0.8981481481481479,0.4838902980848686,10.0,2.6272148478988635,4.99156383156272,6.0,4.0,0.0,6.729166666666667,0,0,3.2000000000000006,2.442500000000001,14,0,20,139.30159200000003,253.95832399999995,120.932352,105.26000000000002,20.031725292735,8.003032287281998,3349.613264879486,5730.516906974737,3328.5177364364818,148.81369162645012,2.75,-8.0,945.5351364447348,-110.31243258521906,-0.0600250000000022,-0.0441000000000012,-0.4931478995760074,22.96103329148577,1.1480516645742884,0.9872142771136608,2.5474547699949355,2.3014547699949337,2.6272148478988635,3.6862616231640537,22.11756973898432,3.6862616231640537,3.6862616231640537,3.6862616231640537,22.11756973898432,17.23047975218684,3.6862616231640537,19.214857975236708,18.078431372549023,18.32,11.589881437125747,22.90702752146923,6.729166666666667,0.0,0.0,3.44063719565667,17.71551634031143,-1.7936661124533475,95.40000000000012,0.0,10.679177494338822,0.0,19.35510199999999,14.044897999999998,0.0
3-METHYLPENTANE,0,0.9351851851851852,0.4838902980848686,10.0,2.7541847860376616,4.99156383156272,6.0,2.25,0.0,6.738425925925926,0,0,3.2000000000000006,2.442500000000001,14,0,20,139.30159200000003,253.95832399999995,60.466176,105.26000000000002,20.01965300547,4.001516143640999,3349.613264879486,5730.516906974738,1664.2588682182409,148.81369162645012,3.75,-7.0,945.5351364447348,-110.31243258521906,-0.0600250000000022,-0.0441000000000013,-0.4931478995760074,22.96103329148577,1.1480516645742884,0.9872569003884868,2.5454663718422754,2.299466371842277,2.7541847860376616,3.5808015763682426,21.484809458209448,3.5808015763682426,3.5808015763682426,3.5808015763682426,21.484809458209448,15.978472706604515,3.5808015763682426,19.214857975236708,18.078431372549023,18.32,11.589881437125747,22.90702752146923,6.738425925925926,0.0,0.0,3.44063719565667,17.71551634031143,-1.7936661124533475,95.40000000000012,0.0,10.675850796199953,0.0,19.35510199999999,14.044897999999998,0.0
"2,2-DIMETHYLBUTANE",0,0.5416666666666667,0.4244820558666797,12.0,3.168489872670569,5.207106781186548,6.0,4.0,0.0,8.9375,0,0,1.6326530612244898,2.442500000000001,14,0,20,139.30159200000003,254.005756,0.0,105.26000000000002,12.004548430922998,0.0,3349.613264879486,5741.450732351635,0.0,148.81369162645012,6.75,-14.0,945.5351364447348,-110.312432585219,-0.0600250000000022,-0.0441000000000013,-0.4931478995760073,22.96103329148577,1.1480516645742884,0.98661157222431,2.5247924460737243,2.278792446073724,3.168489872670569,3.223403672911543,19.34042203746926,3.223403672911543,3.223403672911543,3.223403672911543,19.34042203746926,13.811127599682385,3.223403672911543,19.214857975236708,18.078431372549023,18.32,11.589881437125747,22.90702752146923,8.9375,0.0,0.0,3.44063719565667,18.781228806123387,-1.7762061124533477,95.40000000000012,0.0,10.465990257669732,0.0,19.35510199999999,14.044897999999998,0.0
"2,3-DIMETHYLBUTANE",0,0.8518518518518516,0.4590282783168001,11.0,2.993497243478473,5.154700538379252,6.0,2.25,0.0,8.962962962962964,0,0,2.2222222222222223,2.2984,14,0,20,139.30159200000003,253.98204,0.0,105.26000000000002,16.006064574563997,0.0,3349.613264879486,5735.983819663186,0.0,148.81369162645012,5.75,-10.0,945.5351364447348,-110.31243258521906,-0.0600250000000022,-0.0441000000000013,-0.4931478995760073,22.96103329148577,1.1480516645742884,0.9865813897322372,2.533598023483344,2.2875980234833424,2.993497243478473,3.333333333333334,20.000000000000007,3.333333333333334,3.333333333333334,3.333333333333334,20.000000000000007,14.561552812808834,3.333333333333334,19.214857975236708,18.078431372549023,18.32,11.589881437125747,22.90702752146923,8.962962962962964,0.0,0.0,3.44063719565667,20.174385663055805,-1.4198661124533474,95.40000000000012,0.0,10.52364588012245,0.0,19.35510199999999,14.044897999999998,0.0
1-METHYL-4-ISOPROPYLCYCLOHEXANE,0,0.9236111111111108,0.5229103045670876,34.8,2.259902596224093,7.560477932315068,8.1,2.0,0.0,7.1089814814814805,0,0,2.760710059171598,3.468700000000003,20,0,30,209.77444000000008,427.366228,288.60960800000004,159.3,59.104884397601005,31.38949305577199,4966.29660138498,9258.42272772384,7268.75354141377,161.89479687039668,10.000000000000004,-10.333333333333334,1500.8494229281505,-3.0103577709590847e-14,-4.143313778490507e-15,-9.026113190202522e-16,5.889936795452084e-15,36.44608458965994,1.214869486321998,0.98863386445043,2.519964285948836,2.273964285948835,2.259902596224093,4.958914148211349,49.58914148211348,4.958914148211349,4.958914148211349,4.958914148211349,49.58914148211348,37.39674508494396,4.958914148211349,28.87836853605244,27.25490196078432,27.599999999999994,17.985544910179648,34.15289645924176,7.1089814814814805,0.0,0.2,3.988594761554029,29.06049105715718,-2.268749115167914,140.8999999999999,0.0,19.385708226955547,0.0,30.035859999999968,20.06414,0.0
n-HEPTANE,1,1.3611111111111112,0.4763098736533007,9.428571428571429,2.447472887876344,5.535533905932738,7.0,6.0,0.0,4.491388888888888,0,0,6.0,2.976700000000002,16,0,23,160.27903600000005,296.66411600000004,186.21226,121.19000000000004,30.05967843698,21.038149577584,3846.242925017984,6649.252193252139,4616.702265606983,150.51992274522578,0.945179584120982,-7.001890359168241,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9871447154965196,2.559159942499885,2.313159942499889,2.447472887876344,4.750109229016721,33.25076460311705,4.750109229016721,4.750109229016721,4.750109229016721,33.25076460311705,26.723216980603134,4.750109229016721,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,4.491388888888888,0.0,0.0,3.637021063234923,23.862714211800487,-2.599192278361068,109.49000000000012,0.0,12.83378877709787,0.0,22.358687999999987,16.051312,0.0
2-METHYLHEXANE,0,0.9027314814814812,0.5112703489666591,10.285714285714286,2.678257743164726,5.698670612749268,7.0,6.0,0.0,6.785416666666666,0,0,4.166666666666667,2.832600000000001,16,0,23,160.27903600000005,296.687832,186.18854399999995,121.19000000000004,30.05967843698,20.031725292735,3846.242925017984,6654.719105940585,4611.235352918535,150.51992274522578,2.945179584120984,-9.132325141776937,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9871324742012568,2.5460044868210163,2.3000044868210177,2.678257743164726,4.401361961236996,30.80953372865897,4.401361961236996,4.401361961236996,4.401361961236996,30.80953372865897,24.29793304190392,4.401361961236996,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,6.785416666666666,0.0,0.0,3.637021063234923,20.806172767965645,-2.225392278361068,109.49000000000012,0.0,12.670365275467145,0.0,22.358687999999987,16.051312,0.0
3-METHYLHEXANE,0,0.949074074074074,0.5112703489666591,14.142857142857142,2.831819966070785,5.698670612749268,7.0,3.84,0.0,6.8015740740740736,0,0,4.166666666666667,2.832600000000001,16,0,23,160.27903600000005,296.687832,183.793536,121.19000000000004,33.054770295771995,16.018136861828996,3846.242925017984,6654.719105940586,4802.0059787866285,150.51992274522578,3.9451795841209822,-7.1323251417769375,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9871324252642948,2.543525617986418,2.2975256179864205,2.831819966070785,4.246736768180734,29.727157377265137,4.246736768180734,4.246736768180734,4.246736768180734,29.727157377265137,22.55648516754927,4.246736768180734,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,6.8015740740740736,0.0,0.0,3.637021063234923,20.806172767965645,-2.225392278361068,109.49000000000012,0.0,12.665375228258844,0.0,22.358687999999987,16.051312,0.0
3-ETHYLPENTANE,0,0.9861111111111108,0.5112703489666591,10.285714285714286,2.9923028831940863,5.698670612749268,7.0,2.6666666666666665,0.0,6.784722222222221,0,0,4.166666666666667,2.832600000000001,16,0,23,160.27903600000005,296.687832,181.39852800000003,121.19000000000004,36.04986215456399,12.004548430922997,3846.242925017984,6654.719105940586,4992.776604654723,150.51992274522578,4.945179584120982,-5.132325141776938,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.987256900388486,2.5418161814265487,2.295816181426548,2.9923028831940863,4.084842180401057,28.5938952628074,4.084842180401057,4.084842180401057,4.084842180401057,28.5938952628074,19.53301560890349,4.084842180401057,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,6.784722222222221,0.0,0.0,3.637021063234923,20.806172767965645,-2.225392278361068,109.49000000000012,0.0,12.669197399922218,0.0,22.358687999999987,16.051312,0.0
"2,2-DIMETHYLPENTANE",0,0.5503472222222222,0.4750207476322446,12.0,3.154490065368808,5.914213562373095,7.0,6.0,0.0,9.05034722222222,0,0,2.34375,2.832600000000001,16,0,23,160.27903600000005,296.73526400000003,181.398528,121.19000000000004,28.046829867282,12.004548430922998,3846.242925017984,6665.652931317484,4992.776604654723,150.51992274522578,6.945179584120983,-13.393194706994333,1096.2726219649105,-108.9463475244628,-0.0592816635160716,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9871950460800154,2.5240757299148435,2.2780757299148444,3.154490065368808,3.895789215582654,27.270524509078577,3.895789215582654,3.895789215582654,3.895789215582654,27.270524509078577,20.45981537409787,3.895789215582654,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,9.05034722222222,0.0,0.0,3.637021063234923,21.217420313642563,-2.207932278361068,109.49000000000012,0.0,12.448985386504596,0.0,22.358687999999987,16.051312,0.0
"2,3-DIMETHYLPENTANE",0,0.8657407407407406,0.5001817914751358,15.0,3.1442082073698243,5.861807319565799,7.0,2.6666666666666665,0.0,9.08101851851852,0,0,3.061224489795918,2.688500000000001,16,0,23,160.27903600000005,296.71154800000005,120.93235200000002,121.19000000000004,32.03627372365799,8.003032287281998,3846.242925017984,6660.186018629035,3328.5177364364818,150.51992274522578,6.945179584120982,-8.262759924385632,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9872122886995462,2.531469764119452,2.285469764119449,3.1442082073698243,3.895606293351654,27.26924405346158,3.895606293351654,3.895606293351654,3.895606293351654,27.26924405346158,19.85726871160521,3.895606293351654,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,9.08101851851852,0.0,0.0,3.637021063234923,21.217420313642563,-1.851592278361068,109.49000000000012,0.0,12.50524285868248,0.0,22.358687999999987,16.051312,0.0
"2,4-DIMETHYLPENTANE",1,0.8749999999999998,0.5001817914751358,11.142857142857142,2.9532231745612925,5.861807319565799,7.0,6.0,0.0,9.055555555555555,0,0,3.061224489795918,2.688500000000001,16,0,23,160.27903600000005,296.71154800000005,241.86470400000005,121.19000000000004,32.060418298188,16.006064574563997,3846.242925017984,6660.186018629034,6657.035472872964,150.51992274522578,4.945179584120984,-10.262759924385632,1096.2726219649105,-108.9463475244628,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9871887527804408,2.5370279600017014,2.2910279600017023,2.9532231745612925,4.050277447156257,28.351942130093803,4.050277447156257,4.050277447156257,4.050277447156257,28.351942130093803,21.64007268018465,4.050277447156257,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,9.055555555555555,0.0,0.0,3.637021063234923,21.217420313642563,-1.851592278361068,109.49000000000012,0.0,12.509162434283596,0.0,22.358687999999987,16.051312,0.0
"3,3-DIMETHYLPENTANE",1,0.5833333333333334,0.5002442109657919,12.0,3.360435142696057,5.914213562373096,7.0,2.6666666666666665,0.0,9.07638888888889,0,0,2.34375,2.832600000000001,16,0,23,160.27903600000005,296.73526400000003,60.466176,121.19000000000004,28.022685292751994,4.001516143640999,3846.242925017984,6665.652931317484,1664.2588682182409,150.51992274522578,8.945179584120984,-11.393194706994333,1096.2726219649105,-108.9463475244628,-0.0592816635160716,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9872569003884856,2.522548459579633,2.2765484595796286,3.360435142696057,3.734231764433988,26.139622351037907,3.734231764433988,3.734231764433988,3.734231764433988,26.139622351037907,18.305879153018743,3.734231764433988,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,9.07638888888889,0.0,0.0,3.637021063234923,21.217420313642563,-2.207932278361068,109.49000000000012,0.0,12.442703820042826,0.0,22.358687999999987,16.051312,0.0
"2,2,3-TRIMETHYLBUTANE",0,0.5,0.4387734079247987,12.857142857142858,3.541196965079901,6.077350269189626,7.0,2.6666666666666665,0.0,11.284722222222223,0,0,1.851851851851852,2.688500000000001,16,0,23,160.27903600000005,296.75898,0.0,121.19000000000004,24.009096861846,0.0,3846.242925017984,6671.1198440059325,0.0,150.51992274522578,10.945179584120984,-14.523629489603028,1096.2726219649105,-108.9463475244628,-0.0592816635160716,-0.0435538752362976,-0.4870408637454455,26.621487874186418,1.1574559945298442,0.9866960318489972,2.514165005772938,2.268165005772938,3.541196965079901,3.5412786266085297,24.788950386259707,3.5412786266085297,3.5412786266085297,3.5412786266085297,24.788950386259707,17.422364387436467,3.5412786266085297,22.10269482884195,20.80392156862745,21.08,13.38843592814371,26.322317167393408,11.284722222222223,0.0,0.0,3.637021063234923,22.546073191249,-1.834132278361068,109.49000000000012,0.0,12.293055041532952,0.0,22.358687999999987,16.051312,0.0
n-HEXYLCYCLOHEXANE,0,1.1070427059712773,0.5287312673405525,19.75,1.906220771718448,8.648418081055103,10.083333333333334,4.13265306122449,0.0,2.292270565633661,0,0,5.469263642340565,4.537100000000004,24,0,36,251.72932800000007,512.7778119999999,459.52764,191.16000000000005,73.82945992365798,62.140253635168,5959.555921661976,11095.893300278638,10965.56233727717,161.89479687039668,4.000000000000004,-11.999999999999996,1801.0193075137809,6.458014569027676e-13,-1.282870414836484e-15,-1.0552669849062112e-15,2.2723414240404496e-15,43.73530150759194,1.2148694863219984,0.9879386729548584,2.531371773991008,2.285371773991006,1.906220771718448,6.973274845948495,83.67929815138197,6.973274845948495,6.973274845948495,6.973274845948495,83.67929815138197,65.84230423429977,6.973274845948495,34.654042243262936,32.70588235294118,33.120000000000005,21.58265389221557,40.98347575109011,2.292270565633661,0.0,0.1666666666666666,4.251629167387822,41.88265678793511,-3.720471358654603,169.07999999999967,0.0,23.707515593377085,0.0,36.04303199999996,24.076968,0.0
n-OCTANE,1,1.364795918367347,0.4806106052751372,9.75,2.53006045688352,6.242640687119286,8.0,6.0,0.0,4.511797052154195,0,0,7.0,3.3668000000000022,18,0,26,181.25648000000004,339.39362399999993,249.09715999999992,137.12,39.08120729637599,30.05967843698,4342.872585156481,7573.454392217988,6095.657420645577,151.83240822120703,1.0946745562130211,-8.082840236686389,1246.8595205864642,-107.90130466613653,-0.0587130177514801,-0.043136094674557,-0.4823690359335449,30.278285659102124,1.1645494484270047,0.98714350101141,2.5567867747343462,2.310786774734343,2.53006045688352,5.459088336747442,43.67270669397953,5.459088336747442,5.459088336747442,5.459088336747442,43.67270669397953,34.97342453153386,5.459088336747442,24.9905316824472,23.529411764705884,23.84,15.186990419161678,29.737606813317583,4.511797052154195,0.0,0.0,3.8099480779216,27.60155386186528,-3.0258022005496863,123.58000000000004,0.0,14.83110795092203,0.0,25.36227399999997,18.057726,0.0
2-METHYLHEPTANE,0,0.9042129629629628,0.4921472673477994,10.5,2.7158427612932585,6.405777393935816,8.0,6.0,0.0,6.825046296296296,0,0,5.142857142857143,3.2227000000000023,18,0,26,181.25648000000004,339.4173400000001,249.09715999999992,137.12,39.08120729637599,30.05967843698,4342.872585156481,7578.921304906435,6095.657420645577,151.83240822120703,3.0946745562130227,-10.31360946745562,1246.8595205864642,-107.90130466613653,-0.0587130177514801,-0.043136094674557,-0.4823690359335451,30.278285659102124,1.1645494484270047,0.9871405513215664,2.5452711607719496,2.299271160771952,2.7158427612932585,5.119804241838013,40.9584339347041,5.119804241838013,5.119804241838013,5.119804241838013,40.9584339347041,32.4958858312239,5.119804241838013,24.9905316824472,23.529411764705884,23.84,15.186990419161678,29.737606813317583,6.825046296296296,0.0,0.0,3.8099480779216,24.13720727697972,-2.6520022005496857,123.58000000000004,0.0,14.665959166031309,0.0,25.36227399999997,18.057726,0.0
