material or substance name,Validation,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_SPS,RDKit2D_BalabanJ,RDKit2D_Chi0n,RDKit2D_Kappa1,RDKit2D_Kappa3,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,PubChemFP_fp_0,PubChemFP_fp_9,Mordred2D_nAtom,Mordred2D_ATS0se,Mordred2D_ATS2se,Mordred2D_ATS6se,Mordred2D_ATS0are,Mordred2D_ATS5p,Mordred2D_ATS6p,Mordred2D_ATS0i,Mordred2D_ATS2i,Mordred2D_ATS6i,Mordred2D_AATS0v,Mordred2D_ATSC1dv,Mordred2D_ATSC2dv,Mordred2D_ATSC0v,Mordred2D_ATSC1v,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC0i,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTse-1l,Mordred2D_BCUTare-1l,Mordred2D_BalabanJ,Mordred2D_SpMAD_DzZ,Mordred2D_SpAbs_Dzse,Mordred2D_SpMAD_Dzse,Mordred2D_SpMAD_Dzpe,Mordred2D_SpMAD_Dzare,Mordred2D_SpAbs_Dzi,Mordred2D_SpDiam_Dzi,Mordred2D_SpMAD_Dzi,Mordred2D_Sse,Mordred2D_Spe,Mordred2D_Sare,Mordred2D_Sp,Mordred2D_Si,Mordred2D_SsCH3,Mordred2D_ETA_dEpsilon_D,Mordred2D_fMF,Mordred2D_CIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID_h,Mordred2D_MID_C,Mordred2D_AMID_O,Mordred2D_apol,Mordred2D_bpol,Mordred2D_TopoPSA
BROMOMETHANE,0,1.8125,0.3936198519990384,3.0,1.0,1.3779644730092273,2.48,0.5633333333333334,0.0,0.0,0,0,1.8352,1.0111,3,0,5,38.057869,45.186336,0.0,28.2776,0.0,0.0,821.113182602747,1036.700813812947,0.0,244.0353195542996,-0.5597256515775034,0.1846913580246914,405.39393958319806,-61.059899495833086,-0.0163839999999998,-0.0174239999999998,-0.1062265841456402,5.2523904455387935,1.0504780891077588,0.2432694204358187,2.7216700745696536,2.457211794039003,1.0,0.448352995042149,1.712435848133492,0.856217924066746,0.8642658530540797,0.9134592492803948,1.9068716920633213,1.9068716920633213,0.9534358460316608,5.004005826656956,4.749019607843138,4.736,4.024179041916168,5.672089464756711,1.8125,0.0,0.0,0.9509775004326936,20.36634844757554,-1.0307905832397457,42.45,0.75,1.5,0.0,6.720379,4.389620999999999,0.0
BROMOETHANE,0,1.0625,0.4121785720964007,6.0,1.6329931618554523,2.0850712541957748,3.48,2.4799999999999995,1.0625,2.0416666666666665,0,0,2.8768,1.4012,5,0,8,59.035313,87.988686,0.0,44.2076,0.0,0.0,1317.742842741245,1959.6088506282963,0.0,213.23262354783603,-1.3141289437585733,-1.7325102880658432,564.4612869963744,-74.56087211805438,-0.0280562500000001,-0.02480625,-0.2065742268941406,8.900825571466866,1.1126031964333585,0.2522885565627441,2.625518358498412,2.372602029657939,1.6329931618554523,1.1149497662394252,5.032314399894534,1.693764804797263,1.7010683511892275,1.7452427422349637,5.326266490776368,4.617610039122166,1.7806279398876412,7.891842680262201,7.474509803921569,7.496,5.822733532934132,9.087379110680889,2.0416666666666665,0.0,0.0,1.7012050593046015,19.743974703477,-1.459196529827769,56.54000000000004,0.5345177968644246,3.310660171779821,0.0,9.723965,6.396034999999999,0.0
PENTAFLUOROETHANE,0,-5.333333333333333,0.4274299240598743,12.857142857142858,3.541196965079901,2.9671726342357623,6.65,2.357964601769912,0.0,0.0,0,0,1.551121236927395,1.8138,1,0,8,101.799496,146.77363200000002,0.0,101.39,0.0,0.0,1956.2761634042488,2822.1140666737,0.0,220.41719704254112,0.1875,-15.75,159.76640885785275,-41.23716450253547,-0.7225000000000007,-0.926406249999999,-0.6740834874195155,57.97830252426784,7.24728781553348,2.984069596345692,2.624300169649133,2.3826346287614664,3.541196965079901,2.692727309709781,18.082658357884483,2.7431858878610496,2.6266811955621536,2.547967751570538,17.22313652010266,13.641595497561884,2.640908887319024,10.227239621267298,10.666666666666666,11.079999999999998,4.066941916167664,10.94402840066428,0.0,0.0,0.0,1.7012050593046015,23.945772331292936,-1.3241316913972057,47.84,1.1848366600193907,3.999198421397215,0.0,6.791793000000001,6.568206999999999,0.0
"1,1,2,2-TETRABROMOETHANE",1,0.3101851851851851,0.6402410067492498,11.0,2.993497243478473,2.6665584304161607,7.919999999999998,4.088918918918919,0.0,0.0,0,0,5.103558249158247,3.2182000000000004,2,0,8,69.96580399999999,103.691274,0.0,52.21040000000001,0.0,0.0,1181.687497988498,1760.0817085194003,0.0,465.35439290975376,-4.49597050754458,-6.03943758573388,586.6336570821823,-0.6082445968806077,-0.01380625,-0.002025,-0.1928951028030623,6.224769231673493,0.7780961539591866,0.2492948521770477,2.6071030932741897,2.3403881277628766,2.993497243478473,1.4175350666131408,17.56888235029042,2.993453744378077,3.012944006635537,3.130727379789684,19.22481940027754,14.146831728895547,3.224959671894998,8.576839038601602,8.368627450980394,8.144,10.10394371257485,8.611909629405964,0.0,0.0,0.0,1.5,77.0,-3.3488308774415727,109.04000000000003,1.1084519714916856,3.872934051172336,0.0,16.873585999999996,7.526413999999999,0.0
1-BROMOPROPANE,0,1.1319444444444444,0.4659881510679793,7.5,1.9747448713915887,2.7921780353823222,4.480000000000002,2.480000000000002,1.1319444444444444,2.133680555555556,0,0,3.897600000000004,1.7913,7,0,11,80.012757,130.718194,0.0,60.13760000000001,0.0,0.0,1814.372502879743,2883.811049594145,0.0,199.23139809035263,-0.8817921073813336,-3.779070162908547,718.6291407075355,-81.1430863737927,-0.0343933884297514,-0.0285917355371893,-0.2631176092363718,12.547173424506532,1.1406521295005938,0.2523175339676669,2.593118770042566,2.343984703642001,1.9747448713915887,1.95284698929476,9.80233601820733,2.468951509988304,2.475381971885147,2.514250051704187,10.157996167498675,8.457896877212528,2.545355540207128,10.779679533867442,10.200000000000005,10.256000000000002,7.621288023952095,12.502668756605065,2.133680555555556,0.0,0.0,2.218761086960609,19.57287581092561,-1.8830950069404624,70.63000000000005,0.4138325214724776,5.215990257669732,0.0,12.727551,8.402448999999999,0.0
2-BROMOPROPANE,1,0.6458333333333333,0.4304718029388344,9.0,2.3237900077244498,2.955314742198853,4.480000000000002,23.57722222222224,0.0,4.166666666666667,0,0,1.979439080459772,1.7897,7,0,11,80.012757,130.81475200000003,0.0,60.13760000000001,0.0,0.0,1814.372502879743,2887.9838001320945,0.0,199.23139809035263,-0.6225328481220743,-6.213413597251982,718.6291407075355,-81.14308637379268,-0.0343933884297514,-0.0285917355371893,-0.2631176092363717,12.547173424506532,1.1406521295005938,0.2548200360943937,2.581369921535109,2.3298166005394987,2.3237900077244498,1.7246192647814635,8.776131697628369,2.212400429843563,2.218726394442643,2.256980001341764,9.127029834777424,6.586940910718547,2.2876139570268146,10.779679533867442,10.200000000000005,10.256000000000002,7.621288023952095,12.502668756605065,4.166666666666667,0.0,0.0,2.218761086960609,21.164983031257208,-1.5092950069404625,70.63000000000005,0.4055021169820365,5.110042339640732,0.0,12.727551,8.402448999999999,0.0
"1,2-DIBROMOPROPANE",0,0.6134259259259258,0.5710886700483987,15.0,2.5395388613593908,3.040385996394628,5.959999999999999,4.96,1.0347222222222223,2.092013888888889,0,0,3.768642580645161,2.1647,6,0,11,83.65625399999999,135.786862,0.0,62.80520000000001,0.0,0.0,1769.0207212954942,2819.351452337496,0.0,260.3518270265752,-0.7215363511659818,-7.045267489711938,866.2968787080624,-50.462726856060506,-0.0135404958677684,-0.0143999999999992,-0.0877905654096199,12.587455412860894,1.1443141284418994,0.2518752877199997,2.583872959394412,2.329900890373149,2.5395388613593908,1.895989560639016,13.7669335220959,2.788652314857204,2.7998218748620696,2.867365775134361,14.551058560687055,11.091602552910174,2.921456188935731,11.008011653313911,10.498039215686276,10.472000000000005,9.048358083832335,12.344178929513422,2.092013888888889,0.0,0.0,2.024060227862764,39.82464399906128,-2.4299368325413075,88.13000000000005,0.6642167778699836,5.375718042732256,0.0,15.110758,8.779241999999998,0.0
"1,3-DIBROMOPROPANE",0,1.109375,0.6014232508173057,8.4,2.19060968716425,2.877249289578097,5.959999999999999,4.96,2.21875,0.0,0,0,5.91232,2.166300000000001,6,0,11,83.65625399999999,135.69030400000003,0.0,62.80520000000001,0.0,0.0,1769.0207212954942,2815.178701799547,0.0,260.3518270265752,-1.980795610425241,-3.786008230452675,866.2968787080624,-50.462726856060506,-0.0135404958677684,-0.0143999999999992,-0.08779056540962,12.587455412860894,1.1443141284418994,0.2514605572047888,2.595159154810137,2.343190924145649,2.19060968716425,2.19351585653653,15.403895292373214,3.116044668912667,3.1274682126107765,3.1965079469912423,16.20252272397073,13.283370005538933,3.251749021592468,11.008011653313911,10.498039215686276,10.472000000000005,9.048358083832335,12.344178929513422,0.0,0.0,0.0,2.024060227862764,41.41675121939288,-2.803736832541308,88.13000000000005,0.6724873734152916,5.487436867076458,0.0,15.110758,8.779241999999998,0.0
1-BROMOBUTANE,0,1.15625,0.5113821197020362,8.4,2.19060968716425,3.4992848165688697,5.48,4.480000000000002,1.15625,2.181805555555556,0,0,4.910080000000002,2.1814,9,0,14,100.99020099999998,173.44770200000005,0.0,76.06760000000003,8.768833379094,0.0,2311.002163018241,3808.013248559994,0.0,191.2306978289336,-0.6392318244170099,-4.543209876543209,871.0471752394053,-85.02933874702097,-0.0383040816326513,-0.0308755102040813,-0.2984954346569855,16.192775822943197,1.1566268444959429,0.2523178282556336,2.577572826250588,2.329892228958772,2.19060968716425,2.783903814259342,15.990815193290512,3.215795843877114,3.221492808695249,3.255942656905157,16.38954150082371,13.404341978539277,3.2835305385639018,13.667516387472686,12.925490196078435,13.016000000000004,9.41984251497006,15.91795840252924,2.181805555555556,0.0,0.0,2.609237500927201,21.282430216852035,-2.303238918855132,84.72000000000008,0.3362436867076458,7.168655300614687,0.0,15.731137000000002,10.408862999999998,0.0
1-BROMOHEPTANE,0,1.177295918367347,0.4480453396595322,9.75,2.53006045688352,5.6206051601285125,8.48,6.48,1.177295918367347,2.2441797760770976,0,0,7.9288,3.351700000000002,15,0,23,163.92253300000007,301.636226,191.18437,123.85760000000002,37.217845617282,28.196316757885995,3800.891143433735,6580.619845457542,4548.069917812385,179.75143223646265,-0.2969134505926484,-7.749352376951621,1324.6494822869297,-90.7640398280914,-0.0442827977315708,-0.034305482041591,-0.3531514069773579,27.1280272869078,1.179479447256861,0.2523164453559959,2.5598590507862973,2.313397392043939,2.53006045688352,5.0877631425653895,42.97412300215154,5.385541004346296,5.389742375177736,5.415174570703665,43.449446275654864,34.85179117618453,5.435573158206202,22.33102694828841,21.10196078431373,21.296,14.81550598802395,26.163827340301765,2.2441797760770976,0.0,0.0,3.4023844951535223,29.634936835262536,-3.546178978944944,126.99000000000008,0.2129838422163134,13.127237213191522,0.0,24.74189499999997,16.428105,0.0
